Subject,Session,Trials Measured,Trials Meta,Electrodes,Region Mapping
5,3,50,50,32,"{'Fusiform Gyrus': array([16, 17, 18, 25], dtype=int64), 'Hippocampus': array([ 0,  1,  8,  9, 10, 24], dtype=int64), 'Inferior Parietal Lobule': array([23], dtype=int64), 'Inferior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'Middle Temporal Gyrus': array([ 6, 13, 14, 15, 30], dtype=int64), 'Superior Temporal Gyrus': array([12], dtype=int64), 'posterior Superior Temporal Sulcus': array([22], dtype=int64), 'unspecific': array([ 2,  3,  4,  5,  7, 11, 19, 20, 21, 26, 31], dtype=int64)}"
5,4,50,50,32,"{'Fusiform Gyrus': array([16, 17, 18, 25], dtype=int64), 'Hippocampus': array([ 0,  1,  8,  9, 10, 24], dtype=int64), 'Inferior Parietal Lobule': array([23], dtype=int64), 'Inferior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'Middle Temporal Gyrus': array([ 6, 13, 14, 15, 30], dtype=int64), 'Superior Temporal Gyrus': array([12], dtype=int64), 'posterior Superior Temporal Sulcus': array([22], dtype=int64), 'unspecific': array([ 2,  3,  4,  5,  7, 11, 19, 20, 21, 26, 31], dtype=int64)}"
5,5,50,50,32,"{'Fusiform Gyrus': array([16, 17, 18, 25], dtype=int64), 'Hippocampus': array([ 0,  1,  8,  9, 10, 24], dtype=int64), 'Inferior Parietal Lobule': array([23], dtype=int64), 'Inferior Temporal Gyrus': array([27, 28, 29], dtype=int64), 'Middle Temporal Gyrus': array([ 6, 13, 14, 15, 30], dtype=int64), 'Superior Temporal Gyrus': array([12], dtype=int64), 'posterior Superior Temporal Sulcus': array([22], dtype=int64), 'unspecific': array([ 2,  3,  4,  5,  7, 11, 19, 20, 21, 26, 31], dtype=int64)}"
6,1,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,2,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,3,49,49,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,4,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,5,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,6,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
6,7,50,50,64,"{'Amygdala': array([16, 17, 26, 34], dtype=int64), 'Fusiform Gyrus': array([ 9, 10], dtype=int64), 'Hippocampus': array([ 0,  1,  2,  3,  8, 24, 25, 32, 33, 48, 49, 56, 57], dtype=int64), 'Inferior Temporal Gyrus': array([63], dtype=int64), 'Insular Gyrus': array([28], dtype=int64), 'Middle Temporal Gyrus': array([ 5,  6,  7, 13, 14, 15, 21, 22, 23, 46, 47, 54, 55], dtype=int64), 'Parahippocampal Gyrus': array([40], dtype=int64), 'Superior Temporal Gyrus': array([19, 29, 30, 31, 36, 38, 39, 45], dtype=int64), 'unspecific': array([ 4, 11, 12, 18, 20, 27, 35, 37, 41, 42, 43, 44, 50, 51, 52, 53, 58,
       59, 60, 61, 62], dtype=int64)}"
